Question,Human_Answer,Bot_Answer,BERT
List the different versions of Win32/Injector.EDSK?,"26690, 26977, and 26603","The different versions of Win32/Injector.EDSK are 26690,26977, and 26603",0.7340763807296753
List all the hashes associated with Trojan Banker?,"The sha256 hashes are : fc0b9d2a311a40467281c79ec0822d2fce7a156a9970fc98eb57fd55c71764e6,  f3d6748b88f45598e4db85b3d2bd9c98532da20152703d50f74619354ab997ab,  f434dde30d9a4e51fe173e8bd509e73732ee23814fb92753df8130ef7cbf8557",\n1. fc0b9d2a311a40467281c79ec0822d2fce7a156a9970fc98eb57fd55c71764e6\n2. f3d6748b88f45598e4db85b3d2bd9c98532da20152703d50f74619354ab997ab\n3. f434dde30d9a4e51fe173e8bd509e73732ee23814fb92753df8130ef7cbf8557,0.9797400832176208
List all the hashes associated with Win32.Hack.Undef.(kcloud)?,"sha1: bbdd205d77e8fb4a90168f00fe01e09c8d3d163e, sha256: f892a86d4af2c61bf9284c3cf6608eb003b6a5570829ed3dbecb28eb69bc50d2","The hashes associated with Win32.Hack.Undef.(kcloud) are ""sha1"": ""bbdd205d77e8fb4a90168f00fe01e09c8d3d163e"" and ""sha256"": ""f892a86d4af2c61bf9284c3cf6608eb003b6a5570829ed3dbecb28eb69bc50d2"".",0.9678160548210144
Which file hashes with the result 'Trojan[Backdoor]/Win32.Mokes'?,sha256 = fc70465d07b9f3eb64e7f5ada2c047cd54b1a10b2790264456c0f76a798b50fc,"The file with the SHA256 hash ""fc70465d07b9f3eb64e7f5ada2c047cd54b1a10b2790264456c0f76a798b50fc"" has the result ""Trojan[Backdoor]/Win32.Mokes.""",0.9127686023712158
List the different version of Trojan.Win32.PRIVATELOADER.YXCLPZ?,10.0.0.1040 and 11.0.0.1006.,"The different versions of Trojan.Win32.PRIVATELOADER.YXCLPZ are ""10.0.0.1040"" and ""11.0.0.1006"".",0.6766796708106995
List the hashes associated with Trojan:Win64/ClipBanker?,"sha1: 1f2aa70984f6ad9f8cd002a22699212542bd8cb7, sha256: fc0b9d2a311a40467281c79ec0822d2fce7a156a9970fc98eb57fd55c71764e6","The hashes associated with Trojan:Win64/ClipBanker are ""sha1"": ""1f2aa70984f6ad9f8cd002a22699212542bd8cb7"" and ""sha256"": ""fc0b9d2a311a40467281c79ec0822d2fce7a156a9970fc98eb57fd55c71764e6"".",0.9695491790771484
List all IOC associated with Trojan.CAB?,"result: Win32/TrojanDownloader.CAB, update: 20231227, version: 20131227, result: Troj/CAB-Gen, update: 20231227, version: 1.0,
result: Trojan.Cab, update: 20231227, version: 20131227, result: TROJ_CABDOWN.A, update: 20231227, version: 9.740.00","\n- ""ESET"": {""detected"": true, ""result"": ""Win32/TrojanDownloader.CAB"", ""update"": ""20231227"", ""version"": ""20131227""}, \n- ""Sophos"": {""detected"": true, ""result"": ""Troj/CAB-Gen"", ""update"": ""20231227"", ""version"": ""1.0""}, \n- ""Symantec"": {""detected"": true, ""result"": ""Trojan.Cab"", ""update"": ""20231227"", ""version"": ""20131227""}, \n- ""TrendMicro"": {""detected"": true, ""result"": ""TROJ_CABDOWN.A"", ""update"": ""20231227"", ""version"": ""9.740.00""}, \n- ""VBA32"": {""detected"": true, ""result"": ""Trojan.Cab"", ""update"": ""20231227"", ""version"": ""20131227""}, \n- ""Webroot"": {""detected"": true, ""result"": ""Trojan.Cab"", ""update"": ""20231227"", ""version"": ""20131227""}, \n- ""Yandex"": {""detected"": true, ""result"": ""Trojan.Cab",0.8541516661643982
List the IOC associated with Ransom.Destructor!1.B060 (CLASSIC)?,"update: 20231009, version: 25.0.0.27","""update"": ""20231009"", ""version"": ""25.0.0.27""",0.9023927450180054
List all IOC associated with DeepScan:Generic.Ransom.HydraCrypt.75BB5599?,"result: DeepScan:Generic.Ransom.HydraCrypt.75BB5599 (B), update: 20221225, version: 2022.6.0.32461, result: DeepScan:Generic.Ransom.HydraCrypt.75BB5599, update: 20221225, version: 35.24.1.0","\n- ""Emsisoft"": {""detected"": true, ""result"": ""DeepScan:Generic.Ransom.HydraCrypt.75BB5599 (B)"", ""update"": ""20221225"", ""version"": ""2022.6.0.32461""}\n- ""FireEye"": {""detected"": true, ""result"": ""DeepScan:Generic.Ransom.HydraCrypt.75BB5599"", ""update"": ""20221225"", ""version"": ""35.24.1.0""}",0.9127471446990967
List all IOC associated with Ransom.Win32.STOP.bot?,"update: 20230203, version: 1.0.108.174","""Ransom.Win32.STOP.bot"", ""update"": ""20230203"", ""version"": ""1.0.108.174""",0.8514599800109863
List all IOC associated with Troj/Ransom-GWT?,"update: 20231009, version: 2.3.1.0","""Sophos"": {""detected"": true, ""result"": ""Troj/Ransom-GWT"", ""update"": ""20231009"", ""version"": ""2.3.1.0""}",0.7263256907463074
List all IOC associated with Trojan.TR/Proxy.Sybici.jnxvy?,"update: 20240125, version: 18.10.1547.307","""F-Secure"": {""detected"": true, ""result"": ""Trojan.TR/Proxy.Sybici.jnxvy"", ""update"": ""20240125"", ""version"": ""18.10.1547.307""}",0.7042060494422913
List the IOC associated with Malware.Win64.Wacatac.cc?,"update: 20240125, version: 1.0.155.174","IOC: ""update"": ""20240125"", ""version"": ""1.0.155.174""",0.8327731490135193
List the different versions associated with Trojan.GenericKD.68327531?,Version 2022.6.0.32461 and version A:25.37230B:27.34687,Version 2022.6.0.32461 and version A:25.37230B:27.34687,1.0
List the version associated with Trojan-Ransom.Win32.Crypmodng.gz?,1.0.0.1,"The version associated with Trojan-Ransom.Win32.Crypmodng.gz is ""1.0.0.1"".",0.6203780174255371
List the IOC associated with W32/ShellcodeRunner.CA!tr?,"update: 20230328, version: 6.4.258.0","{""detected"": true, ""result"": ""W32/ShellcodeRunner.CA!tr"", ""update"": ""20230328"", ""version"": ""6.4.258.0""}",0.7686465382575989
List the hashes associated with Trojan-Downloader.Win32.GCleaner.ilz?,fd989f1b02e14369ad076516f5d5ceb380684e7a0ba899f90cfa287e0bbf2ca7,fd989f1b02e14369ad076516f5d5ceb380684e7a0ba899f90cfa287e0bbf2ca7,1.0
List the versions associated with Ransom.Win32.Save.a?,2.23.0.0,"The versions associated with Ransom.Win32.Save.a are ""2.23.0.0"" and ""2.23.0.0"" for the ""Sangfor"" and ""ESET-NOD32"" antivirus programs, respectively.'",0.67182457447052
List the version associated with Trojan.Win32.PSWStealer.CZE?,9.5.579,"The version associated with Trojan.Win32.PSWStealer.CZE is ""9.5.579"".",0.5587590932846069
List the version associated with Downloader.AgentAGen.Win32.23758?,2.0.0.5037,"The version associated with Downloader.AgentAGen.Win32.23758 is ""2.0.0.5037"".",0.6888224482536316
List the hashes associated with Downloader.AgentAGen.Win32.23758?,fd59543a425d2159dfadba8efd4d40178b609ef123a8bc5cf00fe3afef95623d,fd59543a425d2159dfadba8efd4d40178b609ef123a8bc5cf00fe3afef95623d,1.0
List all the IOC associated with Trojan:Win32/Amadey.ADY!MTB?,"update: 20230826, version: 1.1.23070.1005","""Microsoft"": {""detected"": true, ""result"": ""Trojan:Win32/Amadey.ADY!MTB"", ""update"": ""20230826"", ""version"": ""1.1.23070.1005""}",0.7476649284362793
List the IOC associated with Trojan.Malware.771626.susgen?,"update: 20230105, version: 1.0.0.1","""MaxSecure"": {""detected"": true, ""result"": ""Trojan.Malware.771626.susgen"", ""update"": ""20230105"", ""version"": ""1.0.0.1""}",0.7263622879981995
List the IOC associated with OScope.Trojan.MSIL.Bitrans.gen.P?,"update: 20240109, version: 5.0.0","The IOC associated with OScope.Trojan.MSIL.Bitrans.gen.P is ""update"": ""20240109"", ""version"": ""5.0.0"".",0.7883585691452026
Which file hashes with HEUR:Trojan.Win32.Agentb.gen?,The file hash is eb79b1a59f92ad8e0e169dcc1933ac4549831fba69f8d93d8b3694561a606005.,The file hash is eb79b1a59f92ad8e0e169dcc1933ac4549831fba69f8d93d8b3694561a606005.,1.0
List the hashes associated with HEUR:Trojan.Win32.Strab.gen?,"sha1: db21cd510a5bb8953fdf63ad0785ba22ccc99403, sha256: fa3a477577604a91938f7650b04d3dfaa1d8ec12578d3bb2618817529c8b5797",The hashes associated with HEUR:Trojan.Win32.Strab.gen are: \n- sha1: db21cd510a5bb8953fdf63ad0785ba22ccc99403 \n- sha256: fa3a477577604a91938f7650b04d3dfaa1d8ec12578d3bb2618817529c8b5797,0.9653083682060242
List the hashes associated with Trojan.Win32.PSWStealer.CZE?,sha1: 5f765c65460aeeb74943a76b8242c67f0b951826 and sha256: f95d84bd16012696182588589d691c5eaa131d28b7dc53cad85d497d61dab85f,"The hashes associated with Trojan.Win32.PSWStealer.CZE are ""sha1"": ""5f765c65460aeeb74943a76b8242c67f0b951826"" and ""sha256"": ""f95d84bd16012696182588589d691c5eaa131d28b7dc53cad85d497d61dab85f"".",0.9596335887908936
List the IOC associated with Trojan:MSIL/RedLine.MC!MTB?,"update: 20230823, version: 1.1.23070.1005","""Trojan:MSIL/RedLine.MC!MTB""\n- ""20230823""\n- ""1.1.23070.1005""",0.7796865701675415
List the IOC associated with Trojan-Downloader.Win32.GCleaner?,"update: 20230825, version: 1.0","""result"": ""Trojan-Downloader.Win32.GCleaner.ilz"", ""update"": ""20230825"", ""version"": ""1.0""",0.7812074422836304
List the IOC associated with Spyware.TelegramBot.TOR.Generic?,"update: 20230515, version: 4.5.5.54","\nThe IOC associated with Spyware.TelegramBot.TOR.Generic is ""Malwarebytes"": {""detected"": true, ""result"": ""Spyware.TelegramBot.TOR.Generic"", ""update"": ""20230515"", ""version"": ""4.5.5.54""}.",0.7048439979553223
List the IOC associated with Crytex.Virus.FileInfector.DDS?,"update: 20230105, version: 4.4.4.52","""update"": ""20230105"", ""version"": ""4.4.4.52""",0.8669646978378296
List the IOC associated with Trojan.Win32.Injuke.gjty?,"sha1: 84a7a5866b48fe954258e6b27adb7946057d9a84, sha256: fa2d08f3fce304b7f8f52aba50623cb15fed38eed0fa88bc241b061f1158b0f3","The IOC associated with Trojan.Win32.Injuke.gjty is ""sha1"": ""84a7a5866b48fe954258e6b27adb7946057d9a84"", ""sha256"": ""fa2d08f3fce304b7f8f52aba50623cb15fed38eed0fa88bc241b061f1158b0f3"".",0.9731597900390625
List the indicator of compromises associated with Trojan.TR/AD.RedLineSteal.zmjbv?,"update: 20240130, version: 18.10.1547.307","""F-Secure"": {""detected"": true, ""result"": ""Trojan.TR/AD.RedLineSteal.zmjbv"", ""update"": ""20240130"", ""version"": ""18.10.1547.307""}",0.6987435221672058
